m,м
ma,ма
ma1,ма1
ma2,ма2
ma3,ма3
ma4,ма4
mai,май
mai1,май1
mai2,май2
mai3,май3
mai4,май4
ma1i,ма1й
ma2i,ма2й
ma3i,ма3й
ma4i,ма4й
man,ман
ma1n,ма1н
ma2n,ма2н
ma3n,ма3н
ma4n,ма4н
mang,манъ
ma1ng,ма1нъ
ma2ng,ма2нъ
ma3ng,ма3нъ
ma4ng,ма4нъ
mao,мао
ma1o,ма1о
ma2o,ма2о
ma3o,ма3о
ma4o,ма4о
mao1,мао1
mao2,мао2
mao3,мао3
mao4,мао4
me,мэ
me1,мэ1
me2,мэ2
me3,мэ3
me4,мэ4
mei,мэй
me1i,мэ1й
me2i,мэ2й
me3i,мэ3й
me4i,мэ4й
mei1,мэй1
mei2,мэй2
mei3,мэй3
mei4,мэй4
men,мэн
me1n,мэ1н
me2n,мэ2н
me3n,мэ3н
me4n,мэ4н
meng,мэнъ
me1ng,мэ1нъ
me2ng,мэ2нъ
me3ng,мэ3нъ
me4ng,мэ4нъ
mi,ми
mi1,ми1
mi2,ми2
mi3,ми3
mi4,ми4
mian,мьен
mia1n,мье1н
mia2n,мье2н
mia3n,мье3н
mia4n,мье4н
miao,мьао
mia1o,мьа1о
mia2o,мьа2о
mia3o,мьа3о
mia4o,мьа4о
miao1,мьао1
miao2,мьао2
miao3,мьао3
miao4,мьао4
mie,мье
mie1,мье1
mie2,мье2
mie3,мье3
mie4,мье4
min,мин
mi1n,ми1н
mi2n,ми2н
mi3n,ми3н
mi4n,ми4н
ming,минъ
mi1ng,ми1нъ
mi2ng,ми2нъ
mi3ng,ми3нъ
mi4ng,ми4нъ
miu,миу
mi1u,ми1у
mi2u,ми2у
mi3u,ми3у
mi4u,ми4у
miu1,миу1
miu2,миу2
miu3,миу3
miu4,миу4
mo,мо
mo1,мо1
mo2,мо2
mo3,мо3
mo4,мо4
mou,моу
mo1u,мо1у
mo2u,мо2у
mo3u,мо3у
mo4u,мо4у
mou1,моу1
mou2,моу2
mou3,моу3
mou4,моу4
mu,му
mu1,му1
mu2,му2
mu3,му3
mu4,му4
n,н
na,на
na1,на1
na2,на2
na3,на3
na4,на4
nai,най
na1i,на1й
na2i,на2й
na3i,на3й
na4i,на4й
nai1,най1
nai2,най2
nai3,най3
nai4,най4
nan,нан
na1n,на1н
na2n,на2н
na3n,на3н
na4n,на4н
nang,нанъ
na1ng,на1нъ
na2ng,на2нъ
na3ng,на3нъ
na4ng,на4нъ
nao,нао
na1o,на1о
na2o,на2о
na3o,на3о
na4o,на4о
nao1,нао1
nao2,нао2
nao3,нао3
nao4,нао4
ne,нэ
ne1,нэ1
ne2,нэ2
ne3,нэ3
ne4,нэ4
nei,нэй
ne1i,нэ1й
ne2i,нэ2й
ne3i,нэ3й
ne4i,нэ4й
nei1,нэй1
nei2,нэй2
nei3,нэй3
nei4,нэй4
nen,нэнь
ne1n,нэ1нь
ne2n,нэ2нь
ne3n,нэ3нь
ne4n,нэ4нь
neng,нэнъ
ne1ng,нэ1нъ
ne2ng,нэ2нъ
ne3ng,нэ3нъ
ne4ng,нэ4нъ
ng,нъ
ni,ни
ni1,ни1
ni2,ни2
ni3,ни3
ni4,ни4
nian,ньен
nia1n,нье1н
nia2n,нье2н
nia3n,нье3н
nia4n,нье4н
niang,ньянъ
nia1ng,нья1нъ
nia2ng,нья2нъ
nia3ng,нья3нъ
nia4ng,нья4нъ
niao,ньяо
nia1o,нья1о
nia2o,нья2о
nia3o,нья3о
nia4o,нья4о
niao1,ньяо1
niao2,ньяо2
niao3,ньяо3
niao4,ньяо4
nie,нье
nie1,нье1
nie2,нье2
nie3,нье3
nie4,нье4
nin,нин
ni1n,ни1н
ni2n,ни2н
ni3n,ни3н
ni4n,ни4н
ning,нинъ
ni1ng,ни1нъ
ni2ng,ни2нъ
ni3ng,ни3нъ
ni4ng,ни4нъ
niu,ниу
ni1u,ни1у
ni2u,ни2у
ni3u,ни3у
ni4u,ни4у
niu1,ниу1
niu2,ниу2
niu3,ниу3
niu4,ниу4
nong,нунъ
no1ng,ну1нъ
no2ng,ну2нъ
no3ng,ну3нъ
no4ng,ну4нъ
nü,нйюг
nu,ну
nu1,ну1
nu2,ну2
nu3,ну3
nu4,ну4
nuan,нуан
nüe,нйюэ
nuo,нуо
nu1o,ну1о
nu2o,ну2о
nu3o,ну3о
nu4o,ну4о
nuo1,нуо1
nuo2,нуо2
nuo3,нуо3
nuo4,нуо4
o,о
o1,о1
o2,о2
o3,о3
o4,о4
ou,оу
o1u,о1у
o2u,о2у
o3u,о3у
o4u,о4у
ou1,оу1
ou2,оу2
ou3,оу3
ou4,оу4
pa,пха
pa1,пха1
pa2,пха2
pa3,пха3
pa4,пха4
pai,пхай
pa1i,пха1й
pa2i,пха2й
pa3i,пха3й
pa4i,пха4й
pai1,пхай1
pai2,пхай2
pai3,пхай3
pai4,пхай4
pan,пхан
pa1n,пха1н
pa2n,пха2н
pa3n,пха3н
pa4n,пха4н
pang,пханъ
pa1ng,пха1нъ
pa2ng,пха2нъ
pa3ng,пха3нъ
pa4ng,пха4нъ
pao,пхао
pa1o,пха1о
pa2o,пха2о
pa3o,пха3о
pa4o,пха4о
pao1,пхао1
pao2,пхао2
pao3,пхао3
pao4,пхао4
pei,пхэй
pe1i,пхэ1й
pe2i,пхэ2й
pe3i,пхэ3й
pe4i,пхэ4й
pei1,пхэй1
pei2,пхэй2
pei3,пхэй3
pei4,пхэй4
pen,пхэн
pe1n,пхэ1н
pe2n,пхэ2н
pe3n,пхэ3н
pe4n,пхэ4н
peng,пхэнъ
pe1ng,пхэ1нъ
pe2ng,пхэ2нъ
pe3ng,пхэ3нъ
pe4ng,пхэ4нъ
pi,пхи
pi1,пхи1
pi2,пхи2
pi3,пхи3
pi4,пхи4
pian,пхьен
pia1n,пхье1н
pia2n,пхье2н
pia3n,пхье3н
pia4n,пхье4н
piao,пхьяо
pia1o,пхья1о
pia2o,пхья2о
pia3o,пхья3о
pia4o,пхья4о
piao1,пхьяо1
piao2,пхьяо2
piao3,пхьяо3
piao4,пхьяо4
pie,пхье
pie1,пхье1
pie2,пхье2
pie3,пхье3
pie4,пхье4
pin,пхин
pi1n,пхи1н
pi2n,пхи2н
pi3n,пхи3н
pi4n,пхи4н
ping,пхинъ
pi1ng,пхи1нъ
pi2ng,пхи2нъ
pi3ng,пхи3нъ
pi4ng,пхи4нъ
po,пхо
po1,пхо1
po2,пхо2
po3,пхо3
po4,пхо4
pou,пхоу
po1u,пхо1у
po2u,пхо2у
po3u,пхо3у
po4u,пхо4у
pou1,пхоу1
pou2,пхоу2
pou3,пхоу3
pou4,пхоу4
pu,пху
pu1,пху1
pu2,пху2
pu3,пху3
pu4,пху4